"","OBJECTID","ID_DEPA","ID_PROV","P_NOMB","P_CAPIT","ID_DEPNOM","Poblacion","ranking1","IDH","ranking2","EVN","ranking3","POB_ESC","ranking4","POREDAD_25","ranking5","ING_PROMED","ranking6"
"172","758","21","2112","SANDIA","SANDIA","PUNO",68253,93,0.335872493499,103,70.0010081789,146,53.9445466011,76,6.67700550604,107,324.309717626,119
"173","759","21","2113","YUNGUYO","YUNGUYO","PUNO",48179,128,0.325967172413,111,72.0506785324,115,63.6245265112,49,6.21751495163,123,279.718473658,141
"174","760","22","2201","MOYOBAMBA","MOYOBAMBA","SAN MARTIN",136414,44,0.38266382956,78,74.5678761934,71,41.6608612167,109,6.99182226265,97,463.390908322,76
"175","761","22","2202","BELLAVISTA","BELLAVISTA","SAN MARTIN",55815,113,0.36048556494,88,72.9407073319,103,30.6471823127,155,6.46146236968,115,490.633007083,71
"176","762","22","2203","EL DORADO","SAN JOSE DE SISA","SAN MARTIN",38152,139,0.272177913196,154,76.3351464801,43,25.8972246685,175,5.43513490747,155,260.61569171,152
"177","763","22","2204","HUALLAGA","SAPOSOA","SAN MARTIN",25357,163,0.325527114153,112,77.4792193765,27,29.5585119996,159,6.60469533065,111,342.405953036,107
"178","764","22","2205","LAMAS","LAMAS","SAN MARTIN",83825,75,0.311685936338,125,72.9096068218,104,32.1576478389,148,5.71453579839,143,348.948988289,101
"179","765","22","2206","MARISCAL CACERES","JUANJUI","SAN MARTIN",51489,123,0.408051793658,69,72.8816174779,105,37.2113619365,129,7.27452238881,81,589.087695734,49
"180","766","22","2207","PICOTA","PICOTA","SAN MARTIN",42369,134,0.390139736439,73,76.8319629695,38,38.9785908856,120,6.66271992631,109,498.79125174,68
"181","767","22","2208","RIOJA","RIOJA","SAN MARTIN",120387,51,0.379520744689,80,75.5464023228,55,41.0515093943,113,6.67314215724,108,461.147112038,77
"182","768","22","2209","SAN MARTIN","TARAPOTO","SAN MARTIN",179184,29,0.526791814327,19,73.2048634126,99,64.9503397804,43,9.1409201192,35,809.056355093,14
"183","769","22","2210","TOCACHE","TOCACHE","SAN MARTIN",73460,83,0.446764088818,57,71.1275243962,130,46.0836892953,99,7.4793453012,74,700.984639846,27
"184","770","23","2301","TACNA","TACNA","TACNA",302852,15,0.572173141023,12,76.4536567661,42,83.4651600753,2,10.7389132524,6,777.819893746,17
